						
	Median	Median	Median	Median		Average Error
						
	Average Error	Average Error	Average Error	Average Error		
#1022 Valores	0,6923509384	0,6924312906	0,6923511429	0,6923509384		
						
	RMODE11 Error	RMODE10 Error	RMODE01 Error	RMODE00 Error		
	0,094500	0,094570	0,094500	0,094500		
	0,095326	0,095396	0,095326	0,095326		
	0,096161	0,096246	0,096161	0,096161		
	0,096984	0,097069	0,096984	0,096984		
	0,097837	0,097915	0,097837	0,097837		
	0,094847	0,094939	0,094847	0,094847		
	0,095679	0,095764	0,095679	0,095679		
	0,096527	0,096604	0,096527	0,096527		
	0,097355	0,097447	0,097355	0,097355		
	0,098214	0,098292	0,098214	0,098214		
	0,099421	0,099478	0,099421	0,099421		
	0,096353	0,096424	0,096353	0,096353		
	0,097214	0,097284	0,097214	0,097214		
	0,098069	0,098126	0,098069	0,098069		
	0,098920	0,098998	0,098920	0,098920		
	0,099793	0,099843	0,099793	0,099793		
	0,100655	0,100719	0,100655	0,100655		
	0,101518	0,101582	0,101518	0,101518		
	0,102391	0,102469	0,102391	0,102391		
	0,099267	0,099317	0,099267	0,099267		
	0,100125	0,100197	0,100125	0,100125		
	0,101014	0,101071	0,101014	0,101014		
	0,101883	0,101948	0,101883	0,101883		
	0,102776	0,102833	0,102776	0,102776		
	0,103642	0,103721	0,103642	0,103642		
	0,104546	0,104597	0,104546	0,104546		
	0,105431	0,105503	0,105431	0,105431		
	0,102193	0,102273	0,102193	0,102193		
	0,103092	0,103157	0,103092	0,103092		
	0,103979	0,104058	0,103979	0,103979		
	0,105020	0,105092	0,105020	0,105020		
	0,105932	0,105997	0,105932	0,105932		
	0,106847	0,106905	0,106847	0,106847		
	0,107750	0,107808	0,107750	0,107750		
	0,104427	0,104500	0,104427	0,104427		
	0,105359	0,105417	0,105359	0,105359		
	0,106263	0,106336	0,106263	0,106263		
	0,107177	0,107250	0,107177	0,107177		
	0,108094	0,108167	0,108094	0,108094		
	0,109012	0,109085	0,109012	0,109012		
	0,109948	0,110021	0,109948	0,109948		
